品番,品名,写真,図面,取説,施工,分解図本体,分解図_シャワー,購入,価格,価格（税込み）,備考,商品イメージ,バリエーション親品番,バリエーション順序,カタログ年度,カタログページ,検索ワード,分岐金具,分岐金具,分岐金具,発売時期,代替品,本体取付穴,ピッチ,シャワーS取付穴,削除,カテゴリID
KF204F,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰ,,,,,KF204F_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF68,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰ,,KF68_Z.pdf,,,KF68_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF32FGS,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,KF32FGS_Z.pdf,KF32FGS_T.pdf,KF32FGS_S.pdf,KF32FGS_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF64,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,KF64_Z.pdf,KF64_T.pdf,KF64_S.pdf,KF64_B.pdf,,,31,33,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF67FSLEGS,2ﾊﾝﾄﾞﾙ洗髪ｼｬﾜｰｺﾞﾑ栓付,,,,,KF67FSLEGS_B.pdf,,,27,29,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZVR65-1,38M/M L字管(VR7-38用),,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ822AH,3wayｼｬﾜｰｱｸｱﾊｰﾓﾆｰﾊﾟｲﾌﾟ 200,,,,,,,,8,9,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ950AH,3wayｼｬﾜｰｱｸｱﾊｰﾓﾆｰﾊﾟｲﾌﾟ 3way切替,,,,,,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ985,3WAYｼｬﾜｰﾍｯﾄﾞ AT付,,,,,,,,18,19,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ931,3wayｼｬﾜｰﾍｯﾄﾞ ﾜﾝｽﾄｯﾌﾟ機能付 白1.6m 減圧装置付,,,,,,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ931-2,3wayｼｬﾜｰﾍｯﾄﾞ ﾜﾝｽﾄｯﾌﾟ機能付 白1.6m 減圧装置付 AM付,,,,,,,,23,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ931A,3wayｼｬﾜｰﾍｯﾄﾞ ﾜﾝｽﾄｯﾌﾟ付 白1.6m,,,,,,,,23,25,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ931B,3wayｼｬﾜｰﾍｯﾄﾞ ﾜﾝｽﾄｯﾌﾟ付 白1.6m,,,,,,,,23,25,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ986-2,3WAYｼｬﾜｰﾎｰｽｾｯﾄ　AT付,,,,,,,,22,24,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ930,3wayｼｬﾜﾍｯﾄﾞ ﾜﾝｽﾄｯﾌﾟ機能付 減圧装置付,,,,,,,,21,23,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z981,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰ・ﾒﾀﾘｯｸｼｬﾜｰﾎｰｽ1.6M・減圧装置付,,,,,,,,32,34,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z981A,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰ・ﾒﾀﾘｯｸｼｬﾜｰﾎｰｽ1.6M・減圧装置付・ねじ式ｼｬﾜｰｴﾙﾎﾞ付,,,,,,,,33,35,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z981B,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰ・ﾒﾀﾘｯｸｼｬﾜｰﾎｰｽ1.6M・減圧装置付・袋ﾅｯﾄ式ｼｬﾜｰｴﾙﾎﾞ付,,,,,,,,33,35,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZS305TCS,3wayﾜﾝｽﾄｯﾌﾟｼｬﾜｰｾｯﾄ(ｽﾄﾚｰﾄ仕様)　ﾒﾀﾘｯｸ1.6m,,,ZS305TMS_T.pdf,,ZS305TMS_B.pdf,,,32,34,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZS305TMS,3wayﾜﾝｽﾄｯﾌﾟｼｬﾜｰｾｯﾄ(ﾑｰﾌﾞ仕様)　ﾒﾀﾘｯｸ1.6m,,,ZS305TMS_T.pdf,,ZS305TMS_B.pdf,,,32,34,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZS305TC,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰﾍｯﾄﾞ,,,,,,,,28,30,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZS305TM,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰﾍｯﾄﾞ,,,,,,,,28,30,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ980,3WAYﾜﾝｽﾄｯﾌﾟｼｬﾜｰﾍｯﾄﾞ(減圧装置付),,,,,,,,28,30,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZKM66,60MMｿｹｯﾄｾｯﾄ,,,,,,,,11,12,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
WGDK5,7WGDK5:ｻﾄﾞﾙﾊﾞﾝﾄﾞ13A,,,,,,,,160,173,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ963,ASｼｬﾜｰﾍｯﾄﾞ ﾎﾜｲﾄ,,,,,,,,1,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
K24AN,A型鉄管用短胴甲止水栓,,K24AN_Z.pdf,,,K24AN_B.pdf,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
K24AN-20,A型鉄管用短胴甲止水栓20,,K24AN_Z.pdf,,,K24AN_B.pdf,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
K24N,B型鉄管用短胴甲止水栓,,K24N_Z.pdf,,,K24N_B.pdf,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
K24N-20,B型鉄管用短胴甲止水栓20,,K24N_Z.pdf,,,K24N_B.pdf,,,3,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
K102A,B型鉄管用知銅甲止水栓(ｽﾄﾚｰﾅ付)ﾋﾞｽ止,,K102A_Z.pdf,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK3ED-2,EDﾊﾝﾄﾞﾙ用青赤ｷｬｯﾌﾟ,,,,,,,,280,302,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK12GX-4,EXｼｬﾜｰﾊﾝｶﾞｰ,,,,,,,,1,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFA207E9,FA207E-#9:壁付ｼﾝｸﾞﾙ13(逆止),,LFA207E9_Z.pdf,LFA207E_T.pdf,LFA207E_S.pdf,LFA207E_B.pdf,,,25,27,,商品イメージ,,0,2014,1,,,,,08～11,KM5000,,,,0,1100
LFA207E,FA207E:壁付ｼﾝｸﾞﾙ13(逆止),,LFA207E_Z.pdf,LFA207E_T.pdf,LFA207E_S.pdf,LFA207E_B.pdf,,,26,28,,商品イメージ,,0,2014,1,,,,,08～11,KM5000T,,,,0,1100
LFA207EFK2,FA207EFK2:壁付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止),,LFA207EFK2_Z.pdf,LFA207E_T.pdf,LFA207E_S.pdf,LFA207E_B.pdf,,,29,31,,商品イメージ,,0,2014,1,,,,,08～11,KM5000TF,,,,0,1100
LFB235E,FB235E:台付ｼﾝｸﾞﾙ13(泡まつ),,LFB235E_Z.pdf,,,LFB235E_B.pdf,,,28,30,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB237-121,FB237-121:台付ｼﾝｸﾞﾙ13(分岐口･逆止･泡まつ),,LFB237-121_Z.pdf,,,LFB237-121_B.pdf,,,29,31,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB238-9,FB238-#9:台付ｼﾝｸﾞﾙ13(泡まつ),,LFB238-9_Z.pdf,,,LFB238_B.pdf,,,25,27,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB238,FB238:台付ｼﾝｸﾞﾙ13(泡まつ),,LFB238_Z.pdf,,,LFB238_B.pdf,,,26,28,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB238FK2,FB238FK2:台付ｼﾝｸﾞﾙ13(ｼｬﾜ),,LFB238FK2_Z.pdf,,,LFB238FK2_B.pdf,,,31,33,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB244U16,FB244U16:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止･泡まつ),,LFB244U16_Z.pdf,LFB244U16_T.pdf,LFB244U16_S.pdf,LFB244U16_B.pdf,,,56,60,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB244U19,FB244U19:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止),,LFB244U19_Z.pdf,LFB244U19_T.pdf,LFB244U19_S.pdf,LFB244U19_B.pdf,,,56,60,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB244U20,FB244U20:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止･泡まつ),,LFB244U20_Z.pdf,LFB244U20_T.pdf,LFB244U20_S.pdf,LFB244U20_B.pdf,,,68,73,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB273G5EP,FB273GK5E-#P:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止),,LFB273G5EP_Z.pdf,,,,,,56,61,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB273G5E,FB273GK5E:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止),,LFB273G5E_Z.pdf,,,LFB273G5E_B.pdf,,,50,54,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB277G5G,FB277GK5GZ:浄水器兼用ﾜﾝﾚﾊﾞ-混合栓(日水協品),,LFB277G5G_Z.pdf,,,LFB277G5G_B.pdf,,,61,66,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB277G8,FB277GK8:台付ｼﾝｸﾞﾙ13(ｼｬﾜ･逆止),,,,,LFB277G8_B.pdf,,,57,61,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFM612,FB612:台付ｼﾝｸﾞﾙ13(泡まつ),,LFM612_Z.pdf,LFM612_T.pdf,LFM612_S.pdf,LFM612_B.pdf,,,34,37,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB617,FB617:台付ｼﾝｸﾞﾙ13(泡まつ),,LFB617_Z.pdf,LFB617_T.pdf,LFB617_S.pdf,LFB617_B.pdf,,,34,37,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFB617P,FB617P:台付ｼﾝｸﾞﾙ13(泡まつ),,LFB617P_Z.pdf,LFB617_T.pdf,LFB617_S.pdf,,,,34,37,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFK612-107,FK612-107:立水栓13(泡まつ),,LFK612-107_Z.pdf,,,LFK612-107_B.pdf,,,14,15,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFK612-112,FK612-112:立水栓13(泡まつ),,LFK612-112_Z.pdf,,,,,,26,28,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFM612-108,FM612-108:台付ｼﾝｸﾞﾙ13(泡まつ･共),,LFM612-108_Z.pdf,LFM612_T.pdf,LFM612_S.pdf,LFM612-108_B.pdf,,,45,48,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFM612-128,FM612-128:台付ｼﾝｸﾞﾙ13(泡まつ),,LFM612-128_Z.pdf,LFM612_T.pdf,LFM612_S.pdf,LFM612-128_B.pdf,,,45,48,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFM670,FM670:台付ｼﾝｸﾞﾙ13(逆止･泡まつ),,LFM670_Z.pdf,LFM670_T.pdf,LFM670_S.pdf,LFM670_B.pdf,,,55,60,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFM902,FM902:壁付ｼﾝｸﾞﾙ13混合水栓柱(L=1000mm)(埋込･吐水口回転･逆止),,LFM902_Z.pdf,LFM902_T.pdf,,LFM902_B.pdf,,,41,44,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
LFMS902,FMS902:壁付ｼﾝｸﾞﾙ13混合水栓柱(L=1000mm)(埋込･吐水口回転･逆止),,LFM902_Z.pdf,LFM902_T.pdf,,LFM902_B.pdf,,,49,53,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FPP-S,FPP-S:防火ｷｯﾄ S 16.18.22,,,,,,,,1,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GCT-25S,GCT-25S:消音ﾃｰﾌﾟ25,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDB220-3,GDB220-3:連鋳ﾍｯﾀﾞｰ3P,,GDB220-3_Z.pdf,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDBL-10R1,GDBL-10R1:媒介ｴﾙﾎﾞ10A×R1/2,,GDBL-10R1_Z.pdf,,,,,,6,6,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDC1-R1,GDC1-R1:ﾍｯﾀﾞｰﾌﾟﾗｸﾞR1/2,,GDC1-R1_Z.pdf,,,,,,690,745,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDFA-13F1,GDFA-13F1:ﾌｧｽﾅｰｱﾀﾞﾌﾟﾀｰ13A×F1/2,,GDFA-13F1_Z.pdf,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDGA-16G,GDGA-16G:減圧弁用ｱﾀﾞﾌﾟﾀｰ(架橋ﾎﾟﾘｴﾁﾚﾝ管専用)16A×G1,,GDGA-16G_Z.pdf,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDGB-F1,GDGB-F1:逆止弁BOX(分岐用),,GDGB-F1_Z.pdf,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDGK-13P1,GDGK-13P1:外壁取出金具(屋外水栓用)13A×Rp1/2,,GDGK-13P1_Z.pdf,,,,,,10,11,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDGK-13R1,GDGK-13R1:外壁取出金具(屋外給湯器用)13A×R1/2,,GDGK-13R1_Z.pdf,,,,,,17,18,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDGL-16G,GDGL-16G:減圧弁用ｴﾙﾎﾞﾕﾆｵﾝ(架橋ﾎﾟﾘｴﾁﾚﾝ管専用)16A×G1,,GDGL-16G_Z.pdf,,,,,,10,11,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDH-20S,GDH-20S:ﾍｯﾀﾞｰ主管保温材,,,,,,,,710,767,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
GDH-3,GDH-3:ﾍｯﾀﾞｰ保温材3P,,,,,,,,830,896,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
