番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
9,PZKF4GN,シャワー切替レバー部一式,3100,3255,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
10,Z250,切替ボンネット,2640,2772,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
11,PZ42,パッキンセット,260,273,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
12,ZK121-13,Xパッキン,110,116,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
13,PZK80-17,吐水口,1370,1439,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
14,PZK80-24,吐水口,1890,1985,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
15,PZK80-30,吐水口,2420,2541,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
16,ZKF80,シャワーホース接続パッキン,80,84,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
17,ZKF91N,逆止弁,280,294,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
18,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
19,ZKM87,ソケットセット,6330,6647,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
20,ZKF1,送り座,540,567,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
,寒冷地用(KF30N2WZ・KF30N2W),,,,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
21,PZK75JK-13MN,ビス止スピンドルセット(水側),600,630,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
22,PZK75K-13MN,ビス止スピンドルセット(湯側),570,599,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
23,PZK4KJE4-15,ビス止用節水パッキンセット(水側)(2ヶ入),350,368,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
24,PZK4K-15,ビス止用こまパッキンセット(湯側)(2ヶ入),300,315,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
,KF30N2W仕様,,,,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
25,Z527A,ソケットセット,11200,11760,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
26,Z553H,逆止弁付流量調節弁,1520,1596,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
,KF30N2WZ仕様,,,,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
