番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
,Z89N,流量調節止水弁,940,987,KM13N2(W)(WZ)・KM13N2F,KM13N2(W)(WZ)_B.png,,0
,Z402,逆止弁,780,819,KM13N2(W)(WZ)・KM13N2F,KM13N2(W)(WZ)_B.png,,0
,PZK1ED-2,EDハンドルセット,990,1040,KM13N2(W)(WZ)・KM13N2F,KM13N2(W)(WZ)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZK3ED,青キャップ,150,158,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZK3EDR,赤キャップ,160,168,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK4E-15,こま(2ヶ入),270,284,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZ42,パッキンセット,260,273,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZK121-13,Ｘパッキン,110,116,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK81-17,吐水口,1370,1439,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZKM87,ソケットセット,6330,6647,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZKF1,送り座,540,567,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,寒冷地用(KM14N2WZ),,,,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(2ヶ入),300,315,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,ZKM87W,ソケットセット,8250,8663,KM14N2(WZ),KM14N2(WZ)_B.png,,0
,Z403,水抜きスピンドル,490,515,KM14N2(WZ),KM14N2(WZ)_B.png,,0
